Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
52,14921,species,Streak-headed Woodcreeper,Lepidocolaptes souleyetii,1,La Oculta Lodge,CO-ANT,11 Aug 2026,L7358296,S382894376,,1
53,11852,species,Golden-olive Woodpecker,Colaptes rubiginosus,2,La Oculta Lodge,CO-ANT,11 Aug 2026,L7358296,S382894376,,1
54,11171,species,Red-crowned Woodpecker,Melanerpes rubricapillus,1,La Oculta Lodge,CO-ANT,11 Aug 2026,L7358296,S382894376,,1
55,8449,species,White-tailed Hawk,Geranoaetus albicaudatus,2,La Oculta Lodge,CO-ANT,11 Aug 2026,L7358296,S382894376,,1
56,34796,species,Flame-rumped Tanager,Ramphocelus flammigerus,1,"San Felix, Salamina, Caldas",CO-CAL,10 Aug 2026,L16626902,S382893632,,1
57,33889,species,Carib Grackle,Quiscalus lugubris,1,"Carrera 8, Salamina, Caldas, CO (5.404, -75.486)",CO-CAL,09 Aug 2026,L75326199,S381695130,,1
58,12889,species,Blue-headed Parrot,Pionus menstruus,1,"Carrera 8, Salamina, Caldas, CO (5.404, -75.486)",CO-CAL,09 Aug 2026,L75326199,S381695130,,1
59,1853,species,Rock Pigeon,Columba livia,1,"Carrera 8, Salamina, Caldas, CO (5.404, -75.486)",CO-CAL,09 Aug 2026,L75326199,S381695130,N,1
60,961,species,Colombian Chachalaca,Ortalis columbiana,5,"Carrera 8, Salamina, Caldas, CO (5.404, -75.486)",CO-CAL,09 Aug 2026,L75326199,S381695130,,1
61,35483,species,Grassland Yellow-Finch,Sicalis luteola,3,"Unnamed Road, Caldas, CO (5.391, -75.351)",CO-CAL,08 Aug 2026,L75326221,S381695246,,1
62,13162,species,Yellow-eared Parrot,Ognorhynchus icterotis,2,"8-08 Avenida La Sultana, Manizales, Caldas",CO-CAL,07 Aug 2026,L74940663,S381695326,,1
63,24116,species,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,11,"8-08 Avenida La Sultana, Manizales, Caldas",CO-CAL,06 Aug 2026,L74940663,S381695402,,1
64,17423,species,Golden-bellied Flycatcher,Myiodynastes hemichrysus,3,"8-08 Avenida La Sultana, Manizales, Caldas",CO-CAL,06 Aug 2026,L74940663,S381695402,,1
65,10845,species,Southern Emerald-Toucanet,Aulacorhynchus albivitta,2,"8-08 Avenida La Sultana, Manizales, Caldas",CO-CAL,06 Aug 2026,L74940663,S381695402,,1
66,5896,species,Southern Lapwing,Vanellus chilensis,4,"8-08 Avenida La Sultana, Manizales, Caldas",CO-CAL,06 Aug 2026,L74940663,S381695402,,1
67,7478,species,Bare-faced Ibis,Phimosus infuscatus,,"57C-32 Carrera 8A2, MANIZALEZ, Caldas",CO-CAL,06 Aug 2026,L75113982,S380504053,,1
68,33694,species,Yellow-backed Oriole,Icterus chrysater,,"61b-1 Carrera 15b, Manizales, Caldas",CO-CAL,04 Aug 2026,L75007548,S379902693,,1
69,35845,species,Masked Saltator,Saltator cinctus,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
70,35389,species,Slaty Finch,Haplospiza rustica,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
71,35041,species,Beryl-spangled Tanager,Tangara nigroviridis,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
72,35036,species,Blue-and-black Tanager,Tangara vassorii,4,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
73,34917,species,Fawn-breasted Tanager,Pipraeidea melanonota,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
74,34889,species,Blue-winged Mountain Tanager,Anisognathus somptuosus,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
75,34334,species,Russet-crowned Warbler,Myiothlypis coronata,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
76,34291,species,Citrine Warbler,Myiothlypis luteoviridis,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
77,33041,species,Gray-browed Brushfinch,Arremon assimilis,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
78,32631,species,Yellow-bellied Siskin,Spinus xanthogastrus,4,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
79,28274,species,Slaty-backed Nightingale-Thrush,Catharus fuscater,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
80,27576,species,Sharpe's Wren,Cinnycerthia olivascens,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
81,24128,species,Blue-and-white Swallow,Pygochelidon cyanoleuca,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
82,19253,species,Brown-capped Vireo,Vireo leucophrys,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
83,17189,species,Chestnut-bellied Chat-Tyrant,Ochthoeca cinnamomeiventris,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
84,16806,species,Golden-faced Tyrannulet,Zimmerius chrysops,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
85,16384,species,Rufous-crowned Tody-Flycatcher,Poecilotriccus ruficeps,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
86,16201,species,Streak-necked Flycatcher,Mionectes striaticollis,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
87,15849,species,Green-and-black Fruiteater,Pipreola riefferii,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
88,15635,species,Azara's Spinetail,Synallaxis azarae,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
89,15304,species,Pearled Treerunner,Margarornis squamiger,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
90,14946,species,Montane Woodcreeper,Lepidocolaptes lacrymiger,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
91,14435,species,Blackish Tapaculo,Scytalopus latrans,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
92,14290,species,Brown-banded Antpitta,Grallaria milleri,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
93,14234,species,Chestnut-crowned Antpitta,Grallaria ruficapilla,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
94,11874,species,Crimson-mantled Woodpecker,Colaptes rivolii,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
95,8430,species,Roadside Hawk,Rupornis magnirostris,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
96,7811,species,Black Vulture,Coragyps atratus,5,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
97,5130,species,Andean Emerald,Uranomitra franciae,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
98,4702,species,Fawn-breasted Brilliant,Heliodoxa rubinoides,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
99,4672,species,Buff-tailed Coronet,Boissonneaua flavescens,3,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
100,4659,species,Mountain Velvetbreast,Lafresnaya lafresnayi,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
101,4460,species,Speckled Hummingbird,Adelomyia melanogenys,2,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
102,4414,species,Tourmaline Sunangel,Heliangelus exortis,2,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
103,4359,species,Lesser Violetear,Colibri cyanotus,2,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
