scientific_name,common_name,feature_group
Phytotoma raimondii,Peruvian Plantcutter,peru - endemic
Doliornis sclateri,Bay-vented Cotinga,peru - endemic
Leptopogon taczanowskii,Inca Flycatcher,peru - endemic
Poecilotriccus luluae,Johnson's Tody-Flycatcher,peru - endemic
Poecilotriccus pulchellus,Black-backed Tody-Flycatcher,peru - endemic
Zimmerius villarejoi,Mishana Tyrannulet,peru - endemic
Uromyias agraphia,Unstreaked Tit-Tyrant,peru - endemic
Myiarchus semirufus,Rufous Flycatcher,peru - endemic
Ochthoeca piurae,Piura Chat-Tyrant,peru - endemic
Pheugopedius eisenmanni,Inca Wren,peru - endemic
Cinnycerthia peruana,Peruvian Wren,peru - endemic
Polioptila clementsi,Iquitos Gnatcatcher,peru - endemic
Atlapetes rufigenis,Rufous-eared Brushfinch,peru - endemic
Atlapetes nationi,Rusty-bellied Brushfinch,peru - endemic
Atlapetes forbesi,Apurimac Brushfinch,peru - endemic
Atlapetes melanopsis,Black-spectacled Brushfinch,peru - endemic
Atlapetes terborghi,Vilcabamba Brushfinch,peru - endemic
Atlapetes canigenis,Cuzco Brushfinch,peru - endemic
Cacicus koepckeae,Selva Cacique,peru - endemic
Ramphocelus melanogaster,Black-bellied Tanager,peru - endemic
Piezorina cinerea,Cinereous Finch,peru - endemic
Cnemoscopus chrysogaster,Black-billed Cnemoscopus,peru - endemic
Poospiza rufosuperciliaris,Rufous-browed Hemispingus,peru - endemic
Poospiza rubecula,Rufous-breasted Warbling Finch,peru - endemic
Poospizopsis caesar,Chestnut-breasted Mountain Finch,peru - endemic
Kleinothraupis parodii,Parodi's Hemispingus,peru - endemic
Thlypopsis pectoralis,Brown-flanked Tanager,peru - endemic
Microspingus alticola,Plain-tailed Warbling Finch,peru - endemic
Nephelornis oneilli,Pardusco,peru - endemic
Incaspiza pulchra,Great Inca-Finch,peru - endemic
Incaspiza personata,Rufous-backed Inca-Finch,peru - endemic
Incaspiza ortizi,Gray-winged Inca-Finch,peru - endemic
Incaspiza laeta,Buff-bridled Inca-Finch,peru - endemic
Incaspiza watkinsi,Little Inca-Finch,peru - endemic
Iridosornis reinhardti,Yellow-scarfed Tanager,peru - endemic
Dubusia stictocephala,Streak-crowned Mountain Tanager,peru - endemic
Cnemathraupis aureodorsalis,Golden-backed Mountain Tanager,peru - endemic
Stilpnia phillipsi,Sira Tanager,peru - endemic
Picumnus minutissimus,Arrowhead Piculet,suriname - endemic
Pipile pipile,Trinidad Piping-Guan,trinidad & tobago - endemic
Momotus bahamensis,Trinidad Motmot,trinidad & tobago - endemic
Odontophorus columbianus,Venezuelan Wood-Quail,venezuela - endemic
Chaetura andrei,Ashy-tailed Swift,venezuela - endemic
Polytmus milleri,Tepui Goldenthroat,venezuela - endemic
Aglaiocercus berlepschi,Venezuelan Sylph,venezuela - endemic
Oxypogon lindenii,White-bearded Helmetcrest,venezuela - endemic
Hylonympha macrocerca,Scissor-tailed Hummingbird,venezuela - endemic
Chlorostilbon alice,Green-tailed Emerald,venezuela - endemic
Rallus wetmorei,Plain-flanked Rail,venezuela - endemic
Laterallus levraudi,Rusty-flanked Crake,venezuela - endemic
Pyrrhura hoematotis,Red-eared Parakeet,venezuela - endemic
Pyrrhura rhodocephala,Rose-headed Parakeet,venezuela - endemic
Grallaria excelsa,Great Antpitta,venezuela - endemic
Grallaria chthonia,Tachira Antpitta,venezuela - endemic
Grallaria griseonucha,Gray-naped Antpitta,venezuela - endemic
Grallaricula loricata,Scallop-breasted Antpitta,venezuela - endemic
Grallaricula cumanensis,Sucre Antpitta,venezuela - endemic
Scytalopus caracae,Caracas Tapaculo,venezuela - endemic
Scytalopus meridanus,Merida Tapaculo,venezuela - endemic
Syndactyla guttulata,Guttulate Foliage-gleaner,venezuela - endemic
Premnoplex tatei,White-throated Barbtail,venezuela - endemic
Asthenes coryi,Ochre-browed Thistletail,venezuela - endemic
Thripophaga amacurensis,Delta Amacuro Softtail,venezuela - endemic
Synallaxis castanea,Black-throated Spinetail,venezuela - endemic
Pipreola formosa,Handsome Fruiteater,venezuela - endemic
Pogonotriccus venezuelanus,Venezuelan Bristle-Tyrant,venezuela - endemic
Phylloscartes flaviventris,Rufous-lored Tyrannulet,venezuela - endemic
Todirostrum viridanum,Maracaibo Tody-Flycatcher,venezuela - endemic
Zimmerius petersi,Venezuelan Tyrannulet,venezuela - endemic
Phyllomyias urichi,Urich's Tyrannulet,venezuela - endemic
Cistothorus meridae,Merida Wren,venezuela - endemic
Arremon phaeopleurus,Caracas Brushfinch,venezuela - endemic
Arremon phygas,Paria Brushfinch,venezuela - endemic
Basileuterus griseiceps,Gray-headed Warbler,venezuela - endemic
Myioborus albifrons,White-fronted Whitestart,venezuela - endemic
Myioborus pariae,Paria Whitestart,venezuela - endemic
Myioborus albifacies,White-faced Whitestart,venezuela - endemic
Myioborus cardonai,Saffron-breasted Whitestart,venezuela - endemic
Amaurospiza carrizalensis,Carrizal Seedeater,venezuela - endemic
Diglossa gloriosa,Merida Flowerpiercer,venezuela - endemic
Diglossa venezuelensis,Venezuelan Flowerpiercer,venezuela - endemic
Emberizoides duidae,Duida Grass-Finch,venezuela - endemic
Poospiza goeringi,Slaty-backed Hemispingus,venezuela - endemic
Kleinothraupis reyi,Gray-capped Hemispingus,venezuela - endemic
Tangara rufigenis,Rufous-cheeked Tanager,venezuela - endemic
Tachyeres brachypterus,Falkland Steamer-Duck,falkland islands - endemic
Troglodytes cobbi,Cobb's Wren,falkland islands - endemic
